 Source Port, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Inbound, Label
54515,53,17,2018-12-01 15:10:02.660511,20777,2,2,88.0,120.0,44.0,44.0,44.0,0.0,60.0,60.0,60.0,0.0,10011.0699330991,192.5205756365212,6925.666666666666,11991.27642635818,20772.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,64,96.26028781826058,96.26028781826058,44.0,60.0,50.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,63.0,44.0,60.0,40,0,0,0,0,0,0,2,88,2,120,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
62465,80,6,2018-11-03 16:56:52.198059,7242342,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3807688176007151,804704.6666666665,1439017.1179635946,4159756.0,1.0,3.0,3.0,0.0,3.0,3.0,7187321.0,1026760.142857143,1581740.9614240914,4159756.0,1.0,0,0,0,0,64,256,0.2761537635201431,1.1046150540805724,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,4.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,8,0,8192,29200,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
50892,443,6,2018-12-01 09:26:26.121590,116980563,26,23,1834.0,7646.0,517.0,0.0,70.53846153846152,140.92813225732633,2860.0,0.0,332.4347826086956,686.5787928090831,81.0391039065182,0.4188730054239865,2437095.062499999,11768628.282254905,58453629.0,1.0,116980563.0,4679222.52,16137779.533748034,58453629.0,1.0,116887670.0,5313075.90909091,17167579.425686713,58547666.0,2.0,0,0,0,0,544,484,0.2222591457351764,0.19661385968881,0.0,2860.0,189.6,489.4992026426141,239609.46938775503,0,0,0,0,1,0,0,0,0.0,193.46938775510205,70.53846153846153,332.4347826086956,544,0,0,0,0,0,0,26,1834,23,7646,64240,246,12,20,157408.0,90481.38372063062,221388.0,93428.0,58286138.5,236867.3366686509,58453629.0,58118648.0,0,BENIGN
53833,53,17,2018-12-01 13:52:11.950872,20804,2,2,84.0,116.0,42.0,42.0,42.0,0.0,58.0,58.0,58.0,0.0,9613.535858488753,192.27071716977505,6934.666666666666,11965.320736751411,20751.0,2.0,2.0,2.0,0.0,2.0,2.0,51.0,51.0,0.0,51.0,51.0,0,0,0,0,40,40,96.13535858488753,96.13535858488753,42.0,58.0,48.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,60.5,42.0,58.0,40,0,0,0,0,0,0,2,84,2,116,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
443,58419,6,2018-12-01 09:50:20.152472,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.5,0.7071067811865476,2.0,1.0,3.0,1.5,0.7071067811865476,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,498,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BENIGN
80,59987,6,2018-11-03 10:09:01.235221,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,29200,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BENIGN
443,40250,6,2018-11-03 13:00:13.382783,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,126,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BENIGN
54480,53,17,2018-11-03 16:40:40.395353,21819,2,2,86.0,204.0,43.0,43.0,43.0,0.0,102.0,102.0,102.0,0.0,13291.168247857371,183.3264585911361,7273.0,12592.00937102574,21813.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,64,91.66322929556809,91.66322929556809,43.0,102.0,66.6,32.3156308928048,1044.3,0,0,0,0,0,0,0,0,1.0,83.25,43.0,102.0,40,0,0,0,0,0,0,2,86,2,204,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
443,53521,6,2018-12-01 16:45:13.413274,217,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13824.884792626728,108.5,150.61374439273462,215.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,20,40,4608.294930875576,9216.589861751152,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,1022,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BENIGN
80,61419,6,2018-11-03 14:25:15.399465,272,1,3,6.0,18.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,88235.29411764706,14705.882352941177,90.66666666666669,87.04787954530157,176.0,2.0,0.0,0.0,0.0,0.0,0.0,96.0,48.0,65.05382386916237,94.0,2.0,0,0,0,0,20,60,3676.470588235294,11029.411764705885,6.0,6.0,6.0,0.0,0.0,0,0,0,0,0,1,1,0,3.0,7.5,6.0,6.0,20,0,0,0,0,0,0,1,6,3,18,2026,16240,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BENIGN
